BRONX,"[9509, 19766, 19680, 21248, 17482, 4731]"
BROOKLYN,"[23298, 47011, 47745, 50834, 39032, 9681]"
STATEN ISLAND,"[4902, 8295, 6613, 6343, 5519, 1401]"
MANHATTAN,"[20717, 41578, 41249, 42513, 30448, 6519]"
QUEENS,"[19136, 39308, 41006, 42479, 33164, 8322]"
