DST,VT,PR,TOT
BAYVIEW,1110,9,8073
CENTRAL,598,33,7025
INGLESIDE,1221,4,7231
MISSION,1056,378,10885
NORTHERN,947,295,9831
PARK,623,1,4157
RICHMOND,568,6,3963
SOUTHERN,729,10,13231
TARAVAL,865,4,5883
TENDERLOIN,205,282,6592
