,Average Humidity,Cooling Degree Days,Date,Dew Point,Events,Growing Degree Days,Heating Degree Days,Max Gust Speed,Max Temperature,Max Wind Speed,Maximum Humidity,Mean Temperature,Min Temperature,Minimum Humidity,Month to date cooling degree days,Month to date heating degree days,Month to date precipitation,Month to date snowfall,Precipitation,Sea Level Pressure,Since 1 July heating degree days,Since 1 July snowfall,Since 1 June cooling degree days,Since 1 June heating degree days,Snow,Snow Depth,Visibility,Wind Speed,Year to date cooling degree days,Year to date precipitation
0,54,0,2013/01/01,-6,,,32,42,4,24,64,1,-3,44,0,32,0.00,0.0,0.00,1012,1622,5.1,,,0.00,0.00,16,11,0,0.00
1,48,0,2013/01/02,-12,,,37,35,1,24,57,-2,-6,39,0,69,0.00,0.0,0.00,1018,1659,5.1,,,0.00,0.00,16,9,0,0.00
2,56,0,2013/01/03,-10,,,37,32,0,21,68,-2,-4,43,0,106,0.00,0.0,0.00,1020,1696,5.1,,,0.00,0.00,16,7,0,0.00
3,56,0,2013/01/04,-7,,,31,45,3,29,63,1,-1,48,0,137,0.00,0.0,0.00,1016,1727,5.1,,,0.00,0.00,16,13,0,0.00
4,48,0,2013/01/05,-7,,,28,42,6,27,56,3,0,39,0,165,0.00,0.0,0.00,1022,1755,5.1,,,0.00,0.00,16,11,0,0.00
5,67,0,2013/01/06,-3,,,25,32,8,21,89,4,1,45,0,190,T,T,T,1019,1780,5.1,,,T,0.00,13,11,0,T
6,50,0,2013/01/07,-5,,,24,40,7,26,64,5,3,36,0,214,T,T,0.00,1025,1804,5.1,,,0.00,0.00,16,9,0,T
7,59,0,2013/01/08,-3,,,23,40,9,27,70,6,2,48,0,237,T,T,0.00,1028,1827,5.1,,,0.00,0.00,15,10,0,T
8,65,0,2013/01/09,0,,,21,35,9,23,76,7,4,54,0,258,T,T,0.00,1025,1848,5.1,,,0.00,0.00,13,7,0,T
9,48,0,2013/01/10,-5,,,21,35,8,24,62,7,4,34,0,279,T,T,0.00,1031,1869,5.1,,,0.00,0.00,16,11,0,T
10,74,0,2013/01/11,2,Rain,,23,23,8,16,100,6,3,48,0,302,0.55,T,13.97,1026,1892,5.1,,,0.00,0.00,10,7,0,0.55
11,93,0,2013/01/12,6,Rain,,20,23,8,16,100,7,6,86,0,322,0.57,T,0.51,1020,1912,5.1,,,0.00,0.00,6,6,0,0.57
12,93,0,2013/01/13,7,Fog,,18,29,10,19,100,8,6,86,0,340,0.57,T,0.00,1020,1930,5.1,,,0.00,0.00,7,4,0,0.57
