,Average Humidity,Cooling Degree Days,Date,Dew Point,Events,Growing Degree Days,Heating Degree Days,Max Gust Speed,Max Temperature,Max Wind Speed,Maximum Humidity,Mean Temperature,Min Temperature,Minimum Humidity,Month to date cooling degree days,Month to date heating degree days,Month to date precipitation,Month to date snowfall,Precipitation,Sea Level Pressure,Since 1 July heating degree days,Since 1 July snowfall,Since 1 June cooling degree days,Since 1 June heating degree days,Snow,Snow Depth,Visibility,Wind Speed,Year to date cooling degree days,Year to date precipitation
0,52,0,2016/01/01,-5,,,27,42,6,27,59,3,1,44,0,27,0.00,0.0,0.00,1017,1049,T,,,0.00,0.00,16,12,0,0.00
1,46,0,2016/01/02,-8,,,29,37,4,24,52,2,0,40,0,56,0.00,0.0,0.00,1016,1078,T,,,0.00,0.00,16,11,0,0.00
2,47,0,2016/01/03,-6,,,25,42,7,27,56,4,2,37,0,81,0.00,0.0,0.00,1011,1103,T,,,0.00,0.00,16,13,0,0.00
3,44,0,2016/01/04,-13,,,40,50,2,34,59,-4,-10,28,0,121,0.00,0.0,0.00,1017,1143,T,,,0.00,0.00,16,14,0,0.00
4,41,0,2016/01/05,-19,,,45,48,-2,32,58,-7,-12,24,0,166,0.00,0.0,0.00,1035,1188,T,,,0.00,0.00,16,8,0,0.00
5,35,0,2016/01/06,-16,,,32,29,5,21,50,1,-4,19,0,198,0.00,0.0,0.00,1033,1220,T,,,0.00,0.00,16,6,0,0.00
6,33,0,2016/01/07,-12,,,26,-,8,11,44,4,-1,22,0,224,0.00,0.0,0.00,1025,1246,T,,,0.00,0.00,16,4,0,0.00
7,64,0,2016/01/08,-2,,,26,34,8,23,70,4,-1,58,0,250,0.00,0.0,0.00,1023,1272,T,,,0.00,0.00,16,7,0,0.00
8,77,0,2016/01/09,3,Rain,,21,32,8,24,83,7,4,70,0,271,T,0.0,T,1021,1293,T,,,0.00,0.00,14,13,0,T
9,71,0,2016/01/10,8,Rain,,15,56,15,35,93,10,4,49,0,286,1.80,0.0,45.72,1002,1308,T,,,0.00,0.00,7,16,0,1.80
10,37,0,2016/01/11,-13,,,32,56,4,32,49,1,-3,25,0,318,1.80,0.0,0.00,1013,1340,T,,,0.00,0.00,16,17,0,1.80
11,53,0,2016/01/12,-9,,,30,56,7,35,75,2,-4,31,0,348,1.80,T,T,1011,1370,T,,,T,0.00,16,10,0,1.80
12,42,0,2016/01/13,-16,,,39,56,-1,34,52,-3,-6,31,0,387,1.80,T,0.00,1014,1409,T,,,0.00,0.00,16,16,0,1.80
13,47,0,2016/01/14,-11,,,35,37,3,24,55,-1,-6,39,0,422,1.80,T,T,1014,1444,T,,,T,0.00,16,8,0,1.80
14,62,0,2016/01/15,-1,,,22,29,11,19,76,6,1,48,0,444,1.80,T,T,1010,1466,T,,,0.00,0.00,15,8,0,1.80
15,70,0,2016/01/16,3,Rain,,18,35,11,24,89,8,6,50,0,462,2.04,T,6.10,1000,1484,T,,,0.00,0.00,12,11,0,2.04
16,66,0,2016/01/17,-5,"Fog
	,
Snow",,29,31,6,21,85,2,-1,47,0,491,2.09,0.4,1.27,1008,1513,0.4,,,1.02,0.00,13,9,0,2.09
17,53,0,2016/01/18,-14,Snow,,40,56,-1,35,78,-4,-8,27,0,531,2.09,0.4,T,1010,1553,0.4,,,T,T,15,19,0,2.09
18,42,0,2016/01/19,-16,,,43,55,-2,32,53,-6,-9,31,0,574,2.09,0.4,0.00,1017,1596,0.4,,,0.00,T,16,18,0,2.09
19,49,0,2016/01/20,-9,,,33,35,3,23,58,0,-3,40,0,607,2.09,0.4,0.00,1020,1629,0.4,,,0.00,T,16,9,0,2.09
20,45,0,2016/01/21,-12,,,34,37,2,24,55,-1,-3,35,0,641,2.09,0.4,0.00,1021,1663,0.4,,,0.00,0.00,16,10,0,2.09
21,41,0,2016/01/22,-14,Snow,,39,35,-1,26,47,-3,-6,34,0,680,2.10,0.6,0.25,1023,1702,0.6,,,0.51,0.00,14,10,0,2.10
22,78,0,2016/01/23,-6,"Fog
	,
Snow",,39,68,-3,40,92,-3,-4,63,0,719,4.41,27.2,58.67,1008,1741,27.2,,,67.56,15.24,1,25,0,4.41
23,53,0,2016/01/24,-12,Snow,,37,45,2,27,68,-2,-7,38,0,756,4.41,27.2,T,1013,1778,27.2,,,T,0.00,14,9,0,4.41
24,54,0,2016/01/25,-8,,,31,27,4,14,64,1,-2,44,0,787,4.41,27.2,0.00,1024,1809,27.2,,,0.00,48.26,15,5,0,4.41
25,56,0,2016/01/26,-2,,,22,47,9,26,62,6,3,50,0,809,4.41,27.2,0.00,1017,1831,27.2,,,0.00,43.18,16,10,0,4.41
26,45,0,2016/01/27,-6,Rain,,24,40,8,24,58,5,1,31,0,833,4.41,27.2,T,1017,1855,27.2,,,0.00,22.86,16,11,0,4.41
27,51,0,2016/01/28,-7,,,28,35,6,23,64,3,0,38,0,861,4.41,27.2,0.00,1012,1883,27.2,,,0.00,15.24,16,7,0,4.41
28,50,0,2016/01/29,-6,,,29,52,5,27,59,2,-1,40,0,890,4.41,27.2,0.00,1002,1912,27.2,,,0.00,0.00,15,13,0,4.41
29,46,0,2016/01/30,-9,,,31,40,4,26,58,1,-2,34,0,921,4.41,27.2,0.00,1016,1943,27.2,,,0.00,15.24,16,11,0,4.41
30,52,0,2016/01/31,-2,,,19,35,13,23,71,8,2,32,0,940,4.41,27.2,0.00,1012,1962,27.2,,,0.00,2.54,16,8,0,4.41
31,50,0,2016/02/01,1,Rain,2 (Base 50),13,34,15,23,61,11,7,39,0,13,0.01,0.0,0.25,1011,1975,27.2,,,0.00,5.08,16,9,0,4.42
32,46,0,2016/02/02,-4,,,21,27,10,19,57,7,3,34,0,34,0.01,0.0,0.00,1025,1996,27.2,,,0.00,T,16,6,0,4.42
33,75,0,2016/02/03,9,Rain,,14,48,15,29,93,11,6,57,0,48,0.74,0.0,18.54,1017,2010,27.2,,,0.00,0.00,10,10,0,5.15
34,68,0,2016/02/04,6,Rain,,13,34,15,23,93,11,7,42,0,61,0.74,0.0,T,1015,2023,27.2,,,0.00,0.00,15,9,0,5.15
35,66,0,2016/02/05,-3,"Fog
	,
Rain
	,
Snow",,27,47,7,27,92,3,-1,40,0,88,1.27,2.5,13.46,1020,2050,29.7,,,6.35,2.54,7,13,0,5.68
36,49,0,2016/02/06,-8,,,30,32,4,16,57,1,-1,41,,,,,0.00,1027,,,,,0.00,-,16,10,,
37,48,0,2016/02/07,-6,,,25,42,8,29,59,4,1,37,0,143,1.27,2.5,0.00,1019,2105,29.7,,,0.00,0.00,16,9,0,5.68
38,63,0,2016/02/08,-4,Snow,,31,50,4,34,78,1,-2,48,0,174,1.32,2.6,1.27,1008,2136,29.8,,,0.25,0.00,11,17,0,5.73
39,69,0,2016/02/09,-6,,,33,31,2,23,81,0,-3,56,0,207,1.32,2.6,T,1003,2169,29.8,,,T,0.00,15,6,0,5.73
40,63,0,2016/02/10,-4,Snow,,30,39,4,26,82,2,-1,44,0,237,1.33,2.6,0.25,1003,2199,29.8,,,T,0.00,10,9,0,5.74
41,40,0,2016/02/11,-17,Snow,,40,60,-1,32,49,-4,-8,31,0,277,1.33,2.6,T,1013,2239,29.8,,,T,0.00,14,16,0,5.74
