,Average Humidity,Cooling Degree Days,Date,Dew Point,Events,Growing Degree Days,Heating Degree Days,Max Gust Speed,Max Temperature,Max Wind Speed,Maximum Humidity,Mean Temperature,Min Temperature,Minimum Humidity,Month to date cooling degree days,Month to date heating degree days,Month to date precipitation,Month to date snowfall,Precipitation,Sea Level Pressure,Since 1 July heating degree days,Since 1 July snowfall,Since 1 June cooling degree days,Since 1 June heating degree days,Snow,Snow Depth,Visibility,Wind Speed,Year to date cooling degree days,Year to date precipitation
0,37,0,2015/01/01,-12,,,32,50,4,27,46,1,-3,27,0,32,0.00,0.0,0.00,1018,1568,1.2,,,0.00,0.00,16,11,0,0.00
1,43,0,2015/01/02,-8,,,26,40,6,24,52,4,2,33,0,58,0.00,0.0,0.00,1023,1594,1.2,,,0.00,0.00,16,11,0,0.00
2,68,0,2015/01/03,-2,"Rain
	,
Snow",,27,29,6,19,92,3,1,44,0,85,0.71,T,18.03,1030,1621,1.2,,,T,0.00,7,10,0,0.71
3,88,0,2015/01/04,6,Rain,,16,74,13,47,93,9,5,83,0,101,1.01,T,7.62,1012,1637,1.2,,,0.00,0.00,9,10,0,1.01
4,38,0,2015/01/05,-12,,,30,61,9,39,49,2,-6,26,0,131,1.01,T,0.00,1020,1667,1.2,,,0.00,0.00,16,17,0,1.01
5,57,0,2015/01/06,-13,Snow,,44,39,-6,23,77,-6,-7,36,0,175,1.06,0.5,1.27,1024,1711,1.7,,,1.27,0.00,9,7,0,1.06
6,49,0,2015/01/07,-17,,,49,63,-5,35,73,-9,-13,25,0,224,1.06,0.5,0.00,1017,1760,1.7,,,0.00,2.54,16,20,0,1.06
7,48,0,2015/01/08,-20,,,50,50,-6,29,55,-9,-13,41,0,274,1.06,0.5,0.00,1027,1810,1.7,,,0.00,T,16,14,0,1.06
8,57,0,2015/01/09,-12,Snow,,39,48,1,34,81,-3,-7,33,0,313,1.13,2.0,1.78,1018,1849,3.2,,,3.81,0.00,10,14,0,1.13
9,41,0,2015/01/10,-18,,,45,40,-5,29,47,-7,-9,34,0,358,1.13,2.0,0.00,1031,1894,3.2,,,0.00,2.54,16,13,0,1.13
10,38,0,2015/01/11,-14,,,37,39,3,23,47,-2,-8,29,0,395,1.13,2.0,0.00,1036,1931,3.2,,,0.00,2.54,16,10,0,1.13
11,64,0,2015/01/12,-1,Rain,,28,32,4,19,92,3,2,35,0,423,1.49,2.0,9.14,1024,1959,3.2,,,T,T,8,6,0,1.49
12,61,0,2015/01/13,-11,,,38,40,2,29,82,-3,-8,39,0,461,1.49,2.0,0.00,1033,1997,3.2,,,0.00,0.00,16,14,0,1.49
13,56,0,2015/01/14,-11,,,41,27,0,23,63,-4,-9,49,0,502,1.49,2.0,0.00,1029,2038,3.2,,,0.00,0.00,16,10,0,1.49
14,55,0,2015/01/15,-9,,,35,32,2,24,69,-1,-4,41,0,537,1.49,2.0,0.00,1018,2073,3.2,,,0.00,0.00,16,8,0,1.49
15,45,0,2015/01/16,-11,,,33,52,6,34,58,0,-7,31,0,570,1.49,2.0,0.00,1014,2106,3.2,,,0.00,0.00,15,16,0,1.49
16,41,0,2015/01/17,-15,,,40,37,0,23,53,-4,-8,29,0,610,1.49,2.0,0.00,1027,2146,3.2,,,0.00,0.00,16,10,0,1.49
17,77,0,2015/01/18,1,"Fog
	,
Rain",,28,32,6,16,92,3,-1,61,0,638,3.59,2.0,53.34,1012,2174,3.2,,,0.00,0.00,6,6,0,3.59
18,62,0,2015/01/19,-4,,,26,53,6,26,82,4,2,41,0,664,3.59,2.0,0.00,1009,2200,3.2,,,0.00,0.00,16,12,0,3.59
19,47,0,2015/01/20,-8,,,29,32,4,21,59,2,0,35,0,693,3.59,2.0,0.00,1013,2229,3.2,,,0.00,0.00,16,9,0,3.59
20,38,0,2015/01/21,-13,,,34,24,2,16,50,-1,-4,26,0,727,3.59,2.0,0.00,1020,2263,3.2,,,0.00,0.00,16,7,0,3.59
21,56,0,2015/01/22,-7,,,29,34,4,23,69,2,-1,43,0,756,3.59,2.0,0.00,1023,2292,3.2,,,0.00,0.00,11,9,0,3.59
22,50,0,2015/01/23,-8,,,31,31,4,23,59,1,-2,40,0,787,3.59,2.0,0.00,1023,2323,3.2,,,0.00,0.00,15,9,0,3.59
23,71,0,2015/01/24,-1,"Fog
	,
Rain
	,
Snow",,29,39,4,23,89,2,1,52,0,816,4.31,4.5,18.29,1001,2352,5.7,,,6.35,7.62,6,10,0,4.31
24,48,0,2015/01/25,-8,,,28,48,6,27,69,3,-1,27,0,844,4.31,4.5,0.00,1008,2380,5.7,,,0.00,5.08,16,10,0,4.31
25,61,0,2015/01/26,-9,"Fog
	,
Snow",,38,55,-1,37,88,-3,-6,34,0,882,4.79,10.0,12.19,1012,2418,11.2,,,13.97,5.08,5,21,0,4.79
26,66,0,2015/01/27,-9,"Fog
	,
Snow",,40,48,-1,27,84,-4,-7,47,0,922,5.15,14.3,9.14,1006,2458,15.5,,,10.92,20.32,7,13,0,5.15
27,45,0,2015/01/28,-17,,,40,39,1,26,61,-4,-9,28,0,962,5.15,14.3,0.00,1018,2498,15.5,,,0.00,20.32,16,12,0,5.15
28,52,0,2015/01/29,-11,Snow,,37,32,2,23,69,-2,-7,35,0,999,5.17,14.3,0.51,1022,2535,15.5,,,T,15.24,14,6,0,5.17
29,63,0,2015/01/30,-6,Snow,,36,58,3,35,85,-2,-7,40,0,1035,5.23,15.3,1.52,1013,2571,16.5,,,2.54,17.78,10,17,0,5.23
30,41,0,2015/01/31,-18,,,45,71,-3,39,53,-7,-11,29,0,1080,5.23,15.3,0.00,1020,2616,16.5,,,0.00,17.78,16,20,0,5.23
